--------------------------------------------------
CSMaxDelays
f=16,q=6;-183.118:-77.018:29.081;-6.843:-4.624:-2.406;0:0:0;-139.47:-63.167:13.135;-16.237:-6.159:3.919;-1.511:-0.456:0.598;-459.91:-154.288:151.334;-6.188:-3.88:-1.572;-1.767:-0.634:0.498;-294.693:-137.38:19.934;-8.23:-4.086:0.057;-0.822:-0.407:0.009;-137.542:-104.041:-70.541;-14.363:-6.754:0.854;-1.498:-1.189:-0.88
f=18,q=4;-120.524:-13.851:92.822;-17.676:58.543:134.763;-13.135:63.167:139.47;0:0:0;-21.788:57.008:135.805;-12.577:62.711:137.998;-357.578:-91.121:175.337;-15.75:59.287:134.325;-12.714:62.533:137.78;-298.125:-74.212:149.7;-13.471:59.081:131.634;-13.135:62.761:138.657;-117.502:-40.874:35.753;-26.939:56.413:139.765;-14.064:61.978:138.02
f=18,q=5;-168.488:-70.86:26.769;-6.405:1.535:9.475;-3.919:6.159:16.237;-135.805:-57.008:21.788;0:0:0;-4.341:5.702:15.746;-462.798:-148.129:166.54;-6.312:2.279:10.87;-4.412:5.525:15.461;-281.436:-131.221:18.995;-7.867:2.073:12.013;-4.328:5.752:15.832;-122.405:-97.883:-73.36;-14.472:-0.595:13.281;-5.322:4.97:15.261
f=18,q=6;-182.042:-76.562:28.918;-6.299:-4.168:-2.036;-0.598:0.456:1.511;-137.998:-62.711:12.577;-15.746:-5.702:4.341;0:0:0;-459.066:-153.832:151.403;-5.077:-3.424:-1.77;-0.308:-0.178:-0.047;-294.903:-136.923:21.057;-6.736:-3.63:-0.524;-0.591:0.05:0.691;-136.608:-103.585:-70.562;-14.953:-6.298:2.357;-1.611:-0.733:0.145
f=20,q=4;-295.78:77.269:450.319;-157.655:149.664:456.983;-151.334:154.288:459.91;-175.337:91.121:357.578;-166.54:148.129:462.798;-151.403:153.832:459.066;0:0:0;-155.965:150.408:456.781;-151.655:153.654:458.962;-441.278:16.908:475.095;-154.533:150.202:454.936;-151.561:153.881:459.324;-278.181:50.247:378.674;-160.029:147.534:455.097;-152.234:153.099:458.431
f=20,q=5;-176.994:-73.138:30.717;-1.956:-0.744:0.468;1.572:3.88:6.188;-134.325:-59.287:15.75;-10.87:-2.279:6.312;1.77:3.424:5.077;-456.781:-150.408:155.965;0:0:0;1.721:3.246:4.77;-290.772:-133.5:23.773;-2.695:-0.206:2.282;1.441:3.473:5.506;-131.531:-100.161:-68.791;-12.503:-2.874:6.755;0.371:2.691:5.011
f=20,q=6;-181.734:-76.384:28.965;-6.029:-3.99:-1.951;-0.498:0.634:1.767;-137.78:-62.533:12.714;-15.461:-5.525:4.412;0.047:0.178:0.308;-458.962:-153.654:151.655;-4.77:-3.246:-1.721;0:0:0;-294.687:-136.745:21.197;-6.466:-3.452:-0.438;-0.499:0.228:0.954;-136.301:-103.407:-70.513;-14.861:-6.12:2.621;-1.535:-0.555:0.426
f=22,q=4;-105.411:60.361:226.133;-23.38:132.755:288.891;-19.934:137.38:294.693;-149.7:74.212:298.125;-18.995:131.221:281.436;-21.057:136.923:294.903;-475.095:-16.908:441.278;-23.773:133.5:290.772;-21.197:136.745:294.687;0:0:0;-26.138:133.293:292.725;-20.624:136.973:294.57;-113.976:33.338:180.652;-22.857:130.625:284.108;-21.432:136.19:293.812
f=22,q=5;-176.138:-72.932:30.273;-4.227:-0.538:3.151;-0.057:4.086:8.23;-131.634:-59.081:13.471;-12.013:-2.073:7.867;0.524:3.63:6.736;-454.936:-150.202:154.533;-2.282:0.206:2.695;0.438:3.452:6.466;-292.725:-133.293:26.138;0:0:0;-0.06:3.68:7.419;-131.162:-99.955:-68.748;-14.42:-2.668:9.083;-1.086:2.897:6.88
f=22,q=6;-182.49:-76.612:29.267;-6.369:-4.217:-2.066;-0.009:0.407:0.822;-138.657:-62.761:13.135;-15.832:-5.752:4.328;-0.691:-0.05:0.591;-459.324:-153.881:151.561;-5.506:-3.473:-1.441;-0.954:-0.228:0.499;-294.57:-136.973:20.624;-7.419:-3.68:0.06;0:0:0;-136.97:-103.635:-70.3;-14.364:-6.348:1.668;-1.071:-0.783:-0.494
f=24,q=4;-46.112:27.023:100.158;68.106:99.417:130.729;70.541:104.041:137.542;-35.753:40.874:117.502;73.36:97.883:122.405;70.562:103.585:136.608;-378.674:-50.247:278.181;68.791:100.161:131.531;70.513:103.407:136.301;-180.652:-33.338:113.976;68.748:99.955:131.162;70.3:103.635:136.97;0:0:0;58.888:97.287:135.686;69.244:102.852:136.46
f=24,q=5;-181.762:-70.264:41.234;-6.684:2.13:10.944;-0.854:6.754:14.363;-139.765:-56.413:26.939;-13.281:0.595:14.472;-2.357:6.298:14.953;-455.097:-147.534:160.029;-6.755:2.874:12.503;-2.621:6.12:14.861;-284.108:-130.625:22.857;-9.083:2.668:14.42;-1.668:6.348:14.364;-135.686:-97.287:-58.888;0:0:0;-2.223:5.565:13.353
f=24,q=6;-181.992:-75.829:30.333;-5.82:-3.435:-1.05;0.88:1.189:1.498;-138.02:-61.978:14.064;-15.261:-4.97:5.322;-0.145:0.733:1.611;-458.431:-153.099:152.234;-5.011:-2.691:-0.371;-0.426:0.555:1.535;-293.812:-136.19:21.432;-6.88:-2.897:1.086;0.494:0.783:1.071;-136.46:-102.852:-69.244;-13.353:-5.565:2.223;0:0:0
--------------------------------------------------
PRAvgDelays
;f=16,q=4;f=16,q=5;f=16,q=6;f=18,q=4;f=18,q=5;f=18,q=6;f=20,q=4;f=20,q=5;f=20,q=6;f=22,q=4;f=22,q=5;f=22,q=6;f=24,q=4;f=24,q=5;f=24,q=6
f=16,q=4;0:0:0;-48.616:66.797:182.21;-45.842:68.991:183.825;-87.338:15.292:117.923;-42.371:65.944:174.259;-44.244:69.086:182.416;-438.578:-70.22:298.137;-45.786:67.901:181.587;-45.413:69.096:183.605;-214.614:-52.094:110.426;-46.536:67.317:181.17;-44.57:68.951:182.473;-98.933:-25.816:47.3;-55.429:64.928:185.285;-45.211:68.586:182.383
f=16,q=5;-182.21:-66.797:48.616;0:0:0;1.539:2.194:2.85;-124.41:-51.505:21.4;-9.552:-0.853:7.845;0.167:2.289:4.41;-431.557:-137.017:157.522;-0.79:1.104:2.997;1.33:2.298:3.267;-269.085:-118.891:31.303;-1.739:0.52:2.778;0.235:2.154:4.073;-135.221:-92.614:-50.007;-10.045:-1.869:6.306;0.152:1.789:3.426
f=16,q=6;-183.825:-68.991:45.842;-2.85:-2.194:-1.539;0:0:0;-126.597:-53.699:19.198;-11.094:-3.048:4.999;-1.412:0.095:1.601;-434.316:-139.212:155.893;-2.33:-1.091:0.149;-0.223:0.104:0.432;-270.827:-121.085:28.657;-3.843:-1.674:0.494;-1.353:-0.04:1.273;-136.809:-94.808:-52.806;-12.353:-4.064:4.226;-1.587:-0.406:0.776
f=18,q=4;-117.923:-15.292:87.338;-21.4:51.505:124.41;-19.198:53.699:126.597;0:0:0;-23.559:50.651:124.862;-18.487:53.794:126.074;-351.663:-85.512:180.638;-20.163:52.609:125.38;-18.976:53.803:126.582;-275.856:-67.386:141.084;-18.704:52.025:122.754;-18.638:53.659:125.956;-109.484:-41.109:27.266;-31.393:49.636:130.664;-18.616:53.294:125.203
f=18,q=5;-174.259:-65.944:42.371;-7.845:0.853:9.552;-4.999:3.048:11.094;-124.862:-50.651:23.559;0:0:0;-3.657:3.142:9.942;-438.649:-136.164:166.321;-4.885:1.957:8.799;-4.606:3.152:10.91;-261.689:-118.038:25.614;-7.224:1.373:9.97;-3.989:3.008:10.004;-126.972:-91.76:-56.548;-13.115:-1.016:11.083;-4.946:2.642:10.23
f=18,q=6;-182.416:-69.086:44.244;-4.41:-2.289:-0.167;-1.601:-0.095:1.412;-126.074:-53.794:18.487;-9.942:-3.142:3.657;0:0:0;-435.282:-139.306:156.669;-1.698:-1.185:-0.673;-1.17:0.01:1.19;-270.433:-121.18:28.073;-3.855:-1.769:0.317;-0.342:-0.135:0.073;-135.398:-94.902:-54.407;-13.424:-4.158:5.108;-1.309:-0.5:0.309
f=20,q=4;-298.137:70.22:438.578;-157.522:137.017:431.557;-155.893:139.212:434.316;-180.638:85.512:351.663;-166.321:136.164:438.649;-156.669:139.306:435.282;0:0:0;-157.983:138.121:434.225;-155.993:139.316:434.625;-422.86:18.126:459.113;-156.452:137.537:431.526;-156.635:139.172:434.978;-277.63:44.404:366.437;-162.656:135.148:432.952;-156.362:138.806:433.974
f=20,q=5;-181.587:-67.901:45.786;-2.997:-1.104:0.79;-0.149:1.091:2.33;-125.38:-52.609:20.163;-8.799:-1.957:4.885;0.673:1.185:1.698;-434.225:-138.121:157.983;0:0:0;0.267:1.195:2.122;-268.983:-119.995:28.994;-2.982:-0.584:1.814;0.571:1.051:1.53;-134.534:-93.717:-52.901;-11.728:-2.973:5.782;-0.352:0.685:1.722
